[일반검색]				
조건항목	심볼	대상시간	검색전략	값
관리종목	I	일간	관리종목제외	
투자위험종목	J	일간	투자경고종목 (결과제외)	
거래정지종목	K	일간	거래정지종목제외	
ETN	L	일간	ETN제외	
환기종목	M	일간	환기종목 제외	
정리매매종목	N	일간	정리매매종목제외	
ETF	O	일간	ETF제외	
시가총액 범위	P	일간	"[단일] 시가총액 1,000억원이상 99,999,999억원 이하"	
스팩(SPAC)	Q	일간	스팩(SPAC)제외	
투자위험종목	R	일간	투자위험종목 (결과제외)	
주권구분	b	일간	주권구분 우선주 (결과제외)	
부채비율 범위	e	일간	부채비율 최근결산 기준 10% 이상 150% 이하	
전일 동시간 대비 현재거래량 비율 범위	i	일간	전일 동시간 대비 현재거래량 비율 범위 150% 이상 900% 이하	
가격/이동평균간 돌파	l	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 종가기준 단순 이평, 종가가 20 이평 상향 돌파"	
PBR(주가순자산비율) 범위	m	일간	PBR 최근결산 기준 0.1배 이상 1배 이하	
				
조합로직	I and J and K and L and M and N and O and P and Q and R and b and e and i and l and m 			
