[일반검색]				
조건항목	심볼	대상시간	검색전략	값
주가범위	A	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 종가가 3,000원 이상 9,999,999원 이하"	
평균거래대금 범위	B	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 5봉 평균 거래대금이 3,000,000천원 이상 999,999,999천원 이하"	
가격/이동평균 비교	C	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 종가기준 20 단순 이평 < 종가 상태가 1봉 지속"	
이동평균 추세	D	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 종가기준 20 단순 이평이 상승 추세이고, 추세유지 1회 이상"	
전일 동시간 대비 현재거래량 비율 범위	E	일간	전일 동시간 대비 현재거래량 비율 범위 200% 이상 900% 이하	
MACD Signal 비교	F	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, MACD[12,26,9] > Signal 상태가 1봉 지속"	
가격/이동평균 비교	G	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 종가기준 60 단순 이평 < 종가 상태가 1봉 지속"	
RSI Signal 기준값 돌파	H	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, RSI Signal[14,9]가 40선 상향 돌파"	
거래정지종목	I	일간	거래정지종목제외	
투자위험종목	J	일간	투자주의종목 (결과제외)	
관리종목	K	일간	관리종목제외	
불성실공시기업	L	일간	불성실공시기업제외	
정리매매종목	M	일간	정리매매종목제외	
환기종목	O	일간	환기종목 제외	
단기과열	P	일간	단기과열 제외	
ETN	Q	일간	ETN제외	
ETF	R	일간	ETF제외	
투자위험종목	S	일간	투자경고종목 (결과제외)	
투자위험종목	T	일간	투자위험종목 (결과제외)	
주권구분	U	일간	주권구분 우선주 (결과제외)	
				
조합로직	A and B and ((C and D and E and F) or (G and H)) and I and J and K and L and M and O and P and Q and R and S and T and U 			
